<x*>	ẋ
<X*>	Ẋ
<x">	ẍ
<X">	Ẍ
<y^>	ŷ
<Y^>	Ŷ
<y'>	ý
<Y'>	Ý
<y`>	ỳ
<Y`>	Ỳ
<y~>	ỹ
<Y~>	Ỹ
<y=>	ȳ
<Y=>	Ȳ
<y*>	ẏ
<Y*>	Ẏ
<y">	ÿ
<Y">	Ÿ
<y.>	ỵ
<Y.>	Ỵ
<y'>	ý
<Y'>	Ý
<z#>	ž
<Z#>	Ž
<z^>	ẑ
<Z^>	Ẑ
<z'>	ź
<Z'>	Ź
<z*>	ż
<Z*>	Ż
<z_>	ẕ
<Z_>	Ẕ
<z.>	ẓ
<Z.>	Ẓ
<z'>	ź
<Z'>	Ź
<THORN>	Þ
<thorn>	þ
<eth>	ð
<oe>	œ
<OE>	Œ
<ae>	æ
<AE>	Æ
<ao>	å
<AO>	Å
<?>	¿
<!>	¡
<$>	$
< >	
<...>	…
<degree>	°
<+->	±
<registered>	®
<copyright>	©
<yen>	¥
<curren>	¤
<lb>	£
<>	[empty]
<::>	 :: 
<S>	§
<dager>	†
<dagger>	†
<q>	“
</q>	”
<Q>	“
</Q>	”
<lt>	<
<gt>	>
<~>	~
<alif>	ʾ
<ayn>	ʿ
<i>	<em>
</i>	</em>
<e>	<em>
</e>	</em>
<url>	[empty]
</url>	[empty]
<sup>	[empty]
</sup>	[empty]
<bkrev>	[empty]
</bkrev>	[empty]
<sub>	[empty]
</sub>	[empty]
<b>	[empty]
</b>	[empty]
<italic>	<em>
</italic>	</em>
<sc>	[empty]
</sc>	[empty]
<squareroot>	√
</squareroot>	[empty]
<responsibility: editor>	[empty]
<grk>	[Greek transliteration begin]
</grk>	[Greek transliteration end]
<ALPHA>	Α
<BETA>	Β
<GAMMA>	Γ
<DELTA>	Δ
<EPSILON>	Ε
<ZETA>	Ζ
<ETA>	Η
<THETA>	Θ
<IOTA>	Ι
<KAPPA>	Κ
<LAMBDA>	Λ
<LAMDA>	Λ
<MU>	Μ
<NU>	Ν
<XI>	Ξ
<OMICRON>	Ο
<PI>	Π
<RHO>	Ρ
<SIGMA>	Σ
<TAU>	Τ
<UPSILON>	Υ
<PHI>	Φ
<CHI>	Χ
<PSI>	Ψ
<OMEGA>	Ω
<alpha>	α
<beta>	β
<gamma>	γ
<delta>	δ
<epsilon>	ε
<zeta>	ζ
<eta>	η
<theta>	θ
<iota>	ι
<kappa>	κ
<lamda>	λ
<mu>	μ
<nu>	ν
<xi>	ξ
<omicron>	ο
<pi>	π
<rho>	ρ
<varsigma>	ς
<sigma>	σ
<tau>	τ
<upsilon>	υ
<phi>	φ
<chi>	χ
<psi>	ψ
<omega>	ω
<a_>	a
<G_>	G
<G->	G
<G.>	G
<i*>	i
<J*>	J
<s=>	s
<u_>	u
<y#>	y
